PC1,PC2
-1.05411,-0.259849
-1.10552,-0.249766
-1.08622,-0.232053
-1.0994,-0.243427
-0.946038,-0.29684
-1.10552,-0.249766
-0.943099,-0.306463
-1.13882,-0.246252
-1.07541,-0.269243
-0.903925,-0.329225
-0.899236,-0.323683
-0.644794,-0.412428
0.400395,2.48083
0.904545,3.02058
0.459343,0.954687
0.0933733,-0.173541
-0.0355699,-0.321506
0.947711,2.82812
0.756352,2.04138
0.586421,1.29533
0.5092,0.863438
0.8989,1.29102
0.786203,1.22517
0.587155,-0.0101136
1.44648,2.31314
1.49871,2.27046
1.24817,0.457486
1.59752,1.44671
1.94744,2.42682
1.74215,1.83897
1.57535,2.0264
1.01702,-0.0649339
1.66261,0.973015
1.3455,0.464378
0.744141,-0.412007
0.927807,-0.807945
0.704277,-0.735456
0.43696,-0.656966
0.296212,-0.583063
0.432271,-0.662508
0.145717,-0.545967
0.0852441,-0.532599
-0.0588154,-0.505955
0.329341,1.13777
-0.0296347,0.16094
-0.0886769,-0.252914
-0.226177,-0.309415
-0.530038,-0.371966
-0.641924,-0.348514
-0.669101,-0.338661
-0.475131,-0.414037
-0.517486,-0.407238
-0.814283,-0.311695
-0.731323,-0.340458
-0.94185,-0.226418
-0.981396,-0.260539
-1.05093,-0.243887
-1.0077,-0.258683
-1.09622,-0.227464
-1.31006,-0.160684
-1.12952,-0.22395
-0.967094,-0.280647
-1.1853,-0.20504
-1.02987,-0.260079
-0.858389,-0.320061
-0.975518,-0.279786
-0.930225,-0.296209
-0.930225,-0.296209
-0.749683,-0.359475
-0.625799,-0.395834
-0.385659,-0.464471
-0.249777,-0.513739
-0.0070131,-0.575208
0.151598,-0.614284
0.218191,-0.621313
0.518246,-0.712112
1.05288,-0.869093
1.30176,-0.924223
1.59332,-1.00294
1.83433,-1.07958
2.0095,-1.03542
2.0095,-1.03542
1.95565,-1.04943
2.12551,-1.04421
2.51292,0.687876
2.95123,1.75853
2.37803,0.277505
2.72431,1.19599
1.80784,-0.197353
2.11971,0.603067
1.76298,-1.00455
1.9567,-1.05645
2.06065,-1.10809
1.46237,-0.922549
1.77879,-1.03508
1.48779,-0.947567
1.18424,-0.855939
1.27713,-0.895983
0.873697,-0.762652
0.694029,-0.707383
0.573084,-0.680647
0.485435,-0.657426
0.387854,-0.622923
0.514043,-0.666482
0.239732,-0.586334
0.0691232,-0.534349
-0.162832,-0.461
-0.0979893,-0.483194
0.0281992,-0.526753
0.0281992,-0.526753
-0.329071,-0.417841
-0.374365,-0.401419
-0.452955,-0.381482
-0.587329,-0.342635
-0.68491,-0.308132
-0.737136,-0.265448
-0.814914,-0.278112
-0.787738,-0.287965
-0.814914,-0.278112
-0.839152,-0.277882
-0.766682,-0.304158
-0.512239,-0.392902
-0.428652,-0.406178
-0.595446,-0.340655
-0.31795,-0.453911
-0.189696,-0.499097
-0.383666,-0.42372
-0.347431,-0.436858
-0.296017,-0.446942
-0.217427,-0.466879
-0.0830529,-0.505725
0.0931183,-0.560165
0.369494,-0.64194
0.59414,-0.69684
1.21324,-0.893005
1.82209,-1.09226
2.23435,-1.2233
2.5046,-1.2935
2.39751,-1.11716
2.21372,-0.923489
2.46073,-1.07415
2.26782,-1.05486
2.31687,-1.11351
2.53758,-0.699145
2.36959,-1.22107
2.4991,-0.501144
2.55133,-0.696888
2.58162,-0.746542
2.2521,0.456487
2.70647,1.47313
2.84911,2.43688
2.4657,1.25132
2.12298,1.19474
1.43664,-0.87489
1.32425,-0.939618
1.4262,-0.982947
1.20912,-0.785763
1.20912,-0.785763
0.0436047,-0.355223
0.672488,-0.742363
0.805112,-0.796375
1.14379,0.671448
0.741701,-0.773383
0.571092,-0.721399
0.715398,-0.771527
0.756003,-0.793491
0.42297,-0.684809
0.524048,-0.720141
0.585394,-0.741506
0.585394,-0.741506
0.279537,-0.642678
0.42122,-0.699974
0.167651,-0.619227
0.264358,-0.645733
-0.00370263,-0.252988
-0.182311,-0.528765
-0.0552458,-0.549162
-0.0824221,-0.539308
-0.0672433,-0.536254
0.068004,-0.583097
-0.154892,-0.513032
-0.136775,-0.519601
-0.0672433,-0.536254
0.0113469,-0.556191
0.200074,-0.614744
0.382365,-0.662845
0.488131,-0.692635
0.602957,-0.72571
0.866458,-0.81774
1.03476,-0.862524
0.968412,-0.829909
1.12178,-0.883322
1.2436,-0.918055
1.17788,-0.887864
1.65649,-1.05152
2.43158,-1.29393
2.64835,-1.37033
2.72262,-1.28986
2.54639,-0.678945
2.44656,-1.17581
2.84983,0.293306
2.88437,-1.40456
3.25133,-1.51918
3.46429,-1.57796
3.17967,-1.20147
3.63318,1.65248
3.20961,0.827423
3.25997,1.55849
2.64316,-0.527787
3.16269,0.755988
3.19205,0.536668
2.39802,-1.02898
2.17705,-0.869937
1.89624,-0.68204
1.51229,-0.885204
1.45219,-0.968012
1.28146,-0.843335
1.35373,-0.956672
1.0207,-0.84799
0.871705,-0.803403
0.784056,-0.780182
0.784056,-0.780182
0.714524,-0.76353
0.757753,-0.778326
0.66923,-0.747107
0.382365,-0.662845
0.341194,-0.631764
0.280722,-0.618396
0.460636,-0.69715
0.216126,-0.619687
0.154841,-0.573718
-0.086173,-0.497084
-0.154892,-0.513032
-0.17301,-0.506463
-0.206306,-0.502949
-0.239603,-0.499434
-0.0862376,-0.552847
-0.0275151,-0.58138
0.0949913,-0.576022
-0.149015,-0.532279
0.0405852,-0.59883
0.0841937,-0.574654
0.224942,-0.648557
0.325773,-0.660405
0.671927,-0.782317
0.829107,-0.822191
1.00059,-0.882172
1.24542,-0.945267
1.44445,-0.95822
1.47625,-0.987135
1.71751,-1.08725
1.6696,-1.04684
1.95122,-1.14544
2.23972,-1.00669
2.40877,-1.24383
2.44994,-1.27491
3.15071,1.00803
2.74419,-0.330674
2.92449,0.467672
2.53908,-1.27273
2.64217,-0.343109
3.44777,1.86228
2.63329,-1.22604
3.56522,2.11134
2.67621,-1.12006
2.84957,-0.827456
3.18025,0.312605
2.97277,-0.628947
3.08628,-0.442641
2.60974,-0.8796
3.02044,0.0882624
2.64754,-0.126505
3.11022,1.09712
1.96072,-1.03608
1.85245,-1.08615
