PC1,PC2
3.16994,0.744323
3.20068,0.525522
2.4042,-1.0373
2.18283,-0.877073
1.9022,-0.688153
1.5171,-0.890136
1.45821,-0.971984
1.28779,-0.846839
1.36314,-0.95963
1.02671,-0.850586
0.877126,-0.805433
0.789822,-0.781578
0.789822,-0.781578
0.720873,-0.764539
0.764799,-0.77902
0.674987,-0.747499
0.386956,-0.663162
0.345186,-0.631485
0.285414,-0.617855
0.46814,-0.696382
0.221526,-0.61886
0.160809,-0.57255
-0.0821959,-0.495451
-0.1502,-0.511092
-0.168554,-0.504275
-0.200794,-0.500869
-0.233035,-0.497463
-0.0773331,-0.550707
-0.0161524,-0.579247
0.107971,-0.574102
-0.141263,-0.531545
0.0511478,-0.598421
0.0935799,-0.575116
0.234932,-0.649539
0.335529,-0.662167
0.683684,-0.784997
0.839937,-0.825891
1.01399,-0.88595
1.25755,-0.950699
1.45784,-0.963442
1.48687,-0.993996
1.73187,-1.09382
1.67846,-1.05378
1.96429,-1.1526
2.24967,-1.01601
2.41881,-1.25383
2.46058,-1.28551
3.15798,0.994244
2.75178,-0.342008
2.93263,0.455129
2.5511,-1.28222
2.65153,-0.354243
3.45695,1.84725
2.64318,-1.23645
3.57496,2.09621
2.68779,-1.13044
2.85902,-0.839283
3.18925,0.298887
2.98305,-0.641046
3.09738,-0.454461
2.61784,-0.890343
3.03002,0.0764962
2.65469,-0.136712
3.11848,1.08575
1.96731,-1.04321
1.85942,-1.09254
1.75377,-1.06187
1.52245,-0.995841
1.32227,-0.940467
1.25332,-0.923428
1.03118,-0.860812
1.26195,-0.939185
0.910406,-0.713211
0.785114,-0.788397
0.622744,-0.739412
0.622744,-0.739412
0.494574,-0.696393
0.576858,-0.722371
0.498731,-0.701924
0.622193,-0.751761
0.603838,-0.744945
0.248465,-0.621267
0.221286,-0.635905
0.156453,-0.60423
0.0119302,-0.577122
-0.0570188,-0.560083
-0.18268,-0.524731
-0.173503,-0.528139
-0.155148,-0.534955
0.000553187,-0.588199
0.0439304,-0.597573
0.343648,-0.692985
0.221046,-0.65295
0.317527,-0.680213
0.475188,-0.736016
0.742665,-0.828022
0.692622,-0.80545
0.878914,-0.864235
1.01626,-0.910662
1.03211,-0.909812
1.17001,-0.943889
1.29402,-0.981377
1.78505,-1.13345
2.1654,-1.25698
2.31247,-1.29446
2.67533,-1.40352
2.5535,-1.18133
2.72664,-0.719804
2.7225,-0.564224
2.6503,-0.893024
2.63875,-1.33093
2.98447,-0.16705
3.25038,0.696454
3.15198,0.385846
3.63136,1.76233
3.60474,1.99576
2.93255,-0.502516
2.72467,-0.952968
2.76783,-1.38646
2.57487,-1.33194
2.11804,-1.18583
1.89143,-1.11299
1.81354,-1.0755
1.74012,-1.04823
1.88665,-1.09807
1.46958,-0.960907
1.3731,-0.933644
1.19238,-0.877843
1.05197,-0.836099
1.05448,-0.843765
1.19183,-0.890192
0.872657,-0.795207
0.785354,-0.771352
0.650515,-0.732591
0.85822,-0.810967
0.572389,-0.712144
0.494263,-0.691698
0.299652,-0.639307
0.219017,-0.611193
0.150068,-0.594154
-0.0628963,-0.534947
-0.0384244,-0.549854
-0.127377,-0.528135
0.0533476,-0.583936
0.218226,-0.640587
0.239641,-0.642721
0.363653,-0.680209
0.640307,-0.775623
0.683684,-0.784997
0.743456,-0.798627
0.948104,-0.864229
1.11298,-0.92088
1.26618,-0.966457
1.44831,-1.01971
1.64904,-1.08019
1.71634,-1.09937
2.05136,-1.1935
1.94625,-1.15048
2.60065,-0.915481
2.54012,-1.32086
3.48409,1.45866
4.1031,1.43034
3.13046,-1.4117
3.92364,0.788513
2.88647,0.795556
2.03517,-0.83177
2.37413,1.88838
2.75093,2.55542
1.6859,-0.969364
1.52695,0.275688
1.98901,2.73514
1.83766,2.16094
0.949624,-0.73451
1.56734,1.11728
0.925489,-0.0171241
1.45525,2.05672
0.602337,-0.385758
0.719509,-0.297211
0.326944,-0.666576
0.842214,1.58189
0.955315,2.21022
0.375643,0.267086
1.21525,2.20943
