accMotion,digital,humidity,pulseAbs,temperature,vdd,waterleak,x,y,z
106.0,0.0,53.0,0.0,25.3,3603.0,0.0,-58.0,-20.0,-16.0
102.0,0.0,54.0,0.0,24.7,3600.0,0.0,-57.0,-16.0,-25.0
103.0,0.0,55.0,0.0,24.2,3600.0,0.0,-57.0,-20.0,-13.0
32.0,0.0,55.0,0.0,24.1,3606.0,0.0,-59.0,-20.0,-14.0
204.0,0.0,55.0,0.0,24.0,3608.0,0.0,-58.0,-20.0,-8.0
9.0,0.0,56.0,0.0,23.9,3608.0,0.0,-58.0,-21.0,-13.0
167.0,0.0,56.0,0.0,23.5,3600.0,0.0,-59.0,-18.0,-7.0
111.0,0.0,57.0,0.0,23.4,3606.0,0.0,-57.0,-20.0,-17.0
20.0,0.0,57.0,0.0,23.1,3598.0,0.0,-57.0,-22.0,-5.0
135.0,0.0,58.0,0.0,22.8,3598.0,0.0,-57.0,-23.0,-12.0
238.0,0.0,59.0,0.0,22.6,3598.0,0.0,-57.0,-20.0,-11.0
208.0,0.0,60.0,0.0,22.1,3595.0,0.0,-58.0,-22.0,-11.0
30.0,0.0,60.0,0.0,21.9,3595.0,0.0,-58.0,-20.0,-13.0
0.0,0.0,61.0,0.0,21.4,3595.0,0.0,-58.0,-21.0,-12.0
0.0,0.0,62.0,0.0,21.3,3600.0,0.0,-58.0,-21.0,-13.0
1.0,0.0,60.0,0.0,23.8,3634.0,0.0,-57.0,-22.0,-8.0
140.0,0.0,60.0,0.0,22.1,3598.0,0.0,-59.0,-19.0,-11.0
125.0,0.0,60.0,0.0,21.7,3595.0,0.0,-57.0,-21.0,-13.0
138.0,0.0,60.0,0.0,22.2,3595.0,0.0,-58.0,-21.0,-12.0
146.0,0.0,58.0,0.0,22.6,3595.0,0.0,-58.0,-20.0,-13.0
78.0,0.0,58.0,0.0,22.9,3598.0,0.0,-58.0,-21.0,-13.0
49.0,0.0,58.0,0.0,23.2,3603.0,0.0,-58.0,-20.0,-12.0
56.0,0.0,58.0,0.0,23.5,3606.0,0.0,-59.0,-24.0,-14.0
88.0,0.0,58.0,0.0,23.7,3606.0,0.0,-58.0,-20.0,-13.0
103.0,0.0,57.0,0.0,24.1,3600.0,0.0,-57.0,-22.0,-11.0
112.0,0.0,57.0,0.0,24.2,3608.0,0.0,-58.0,-20.0,-15.0
38.0,0.0,55.0,0.0,24.9,3600.0,0.0,-60.0,-20.0,-12.0
14.0,0.0,54.0,0.0,25.4,3603.0,0.0,-57.0,-23.0,-8.0
62.0,0.0,52.0,0.0,25.7,3606.0,0.0,-59.0,-21.0,-11.0
148.0,0.0,51.0,0.0,25.7,3606.0,0.0,-58.0,-22.0,-13.0
126.0,0.0,51.0,0.0,25.8,3606.0,0.0,-58.0,-22.0,-16.0
83.0,0.0,50.0,0.0,25.8,3603.0,0.0,-56.0,-22.0,-22.0
149.0,0.0,49.0,0.0,25.8,3606.0,0.0,-54.0,-21.0,-11.0
57.0,0.0,48.0,0.0,26.1,3606.0,0.0,-59.0,-17.0,-9.0
91.0,0.0,48.0,0.0,26.2,3611.0,0.0,-58.0,-21.0,-15.0
95.0,0.0,48.0,0.0,26.1,3613.0,0.0,-61.0,-14.0,-12.0
130.0,0.0,47.0,0.0,25.9,3606.0,0.0,-55.0,-29.0,-24.0
145.0,0.0,45.0,0.0,25.8,3606.0,0.0,-57.0,-23.0,-17.0
109.0,0.0,44.0,0.0,25.5,3606.0,0.0,-58.0,-19.0,-7.0
128.0,0.0,44.0,0.0,25.3,3608.0,0.0,-58.0,-20.0,-11.0
111.0,0.0,44.0,0.0,25.2,3611.0,0.0,-59.0,-21.0,-7.0
140.0,0.0,44.0,0.0,25.0,3611.0,0.0,-61.0,-19.0,-11.0
152.0,0.0,44.0,0.0,24.5,3600.0,0.0,-57.0,-20.0,-12.0
105.0,0.0,44.0,0.0,24.3,3608.0,0.0,-59.0,-16.0,-18.0
134.0,0.0,45.0,0.0,23.6,3598.0,0.0,-59.0,-17.0,-19.0
148.0,0.0,45.0,0.0,23.1,3600.0,0.0,-56.0,-27.0,-12.0
156.0,0.0,45.0,0.0,22.7,3595.0,0.0,-56.0,-18.0,-13.0
77.0,0.0,46.0,0.0,22.6,3603.0,0.0,-57.0,-23.0,-7.0
104.0,0.0,45.0,0.0,22.5,3595.0,0.0,-58.0,-21.0,-11.0
198.0,0.0,46.0,0.0,22.2,3595.0,0.0,-59.0,-20.0,-8.0
197.0,0.0,45.0,0.0,22.1,3595.0,0.0,-58.0,-20.0,-10.0
121.0,0.0,45.0,0.0,22.0,3595.0,0.0,-59.0,-20.0,-14.0
191.0,0.0,45.0,0.0,21.9,3595.0,0.0,-57.0,-19.0,-10.0
227.0,0.0,45.0,0.0,21.6,3593.0,0.0,-58.0,-20.0,-13.0
229.0,0.0,46.0,0.0,21.5,3600.0,0.0,-58.0,-21.0,-13.0
0.0,0.0,50.0,0.0,20.6,3593.0,0.0,-58.0,-21.0,-13.0
0.0,0.0,51.0,0.0,19.7,3590.0,0.0,-58.0,-20.0,-12.0
0.0,0.0,52.0,0.0,19.2,3590.0,0.0,-57.0,-20.0,-13.0
0.0,0.0,53.0,0.0,19.0,3593.0,0.0,-57.0,-21.0,-12.0
0.0,0.0,54.0,0.0,18.7,3590.0,0.0,-57.0,-21.0,-13.0
0.0,0.0,54.0,0.0,18.6,3593.0,0.0,-57.0,-20.0,-13.0
0.0,0.0,56.0,0.0,18.2,3585.0,0.0,-58.0,-21.0,-13.0
0.0,0.0,57.0,0.0,18.1,3585.0,0.0,-57.0,-21.0,-12.0
0.0,0.0,57.0,0.0,17.9,3585.0,0.0,-57.0,-21.0,-13.0
0.0,0.0,57.0,0.0,17.9,3585.0,0.0,-57.0,-20.0,-13.0
0.0,0.0,57.0,0.0,17.7,3585.0,0.0,-57.0,-20.0,-12.0
0.0,0.0,57.0,0.0,17.5,3587.0,0.0,-57.0,-20.0,-12.0
0.0,0.0,57.0,0.0,17.6,3593.0,0.0,-57.0,-20.0,-13.0
0.0,0.0,58.0,0.0,17.4,3585.0,0.0,-57.0,-20.0,-14.0
0.0,0.0,59.0,0.0,17.4,3585.0,0.0,-57.0,-20.0,-14.0
0.0,0.0,59.0,0.0,17.5,3590.0,0.0,-57.0,-20.0,-12.0
0.0,0.0,59.0,0.0,18.0,3585.0,0.0,-58.0,-21.0,-12.0
0.0,0.0,58.0,0.0,18.3,3590.0,0.0,-58.0,-20.0,-13.0
0.0,0.0,57.0,0.0,19.2,3585.0,0.0,-57.0,-20.0,-13.0
0.0,0.0,56.0,0.0,20.7,3590.0,0.0,-57.0,-21.0,-13.0
0.0,0.0,54.0,0.0,22.0,3595.0,0.0,-57.0,-20.0,-14.0
0.0,0.0,53.0,0.0,21.7,3593.0,0.0,-58.0,-20.0,-12.0
1.0,0.0,52.0,0.0,21.9,3593.0,0.0,-58.0,-21.0,-13.0
0.0,0.0,50.0,0.0,22.8,3595.0,0.0,-58.0,-20.0,-12.0
2.0,0.0,49.0,0.0,24.1,3598.0,0.0,-57.0,-22.0,-12.0
0.0,0.0,48.0,0.0,24.2,3600.0,0.0,-58.0,-21.0,-13.0
114.0,0.0,46.0,0.0,25.7,3600.0,0.0,-57.0,-20.0,-11.0
67.0,0.0,45.0,0.0,26.0,3606.0,0.0,-58.0,-20.0,-15.0
161.0,0.0,44.0,0.0,26.7,3606.0,0.0,-58.0,-21.0,-11.0
174.0,0.0,43.0,0.0,27.2,3606.0,0.0,-58.0,-19.0,-12.0
48.0,0.0,43.0,0.0,27.1,3613.0,0.0,-57.0,-21.0,-14.0
87.0,0.0,42.0,0.0,27.6,3608.0,0.0,-57.0,-23.0,-17.0
243.0,0.0,42.0,0.0,28.0,3608.0,0.0,-59.0,-18.0,-13.0
172.0,0.0,41.0,0.0,28.0,3611.0,0.0,-58.0,-20.0,-14.0
254.0,0.0,41.0,0.0,28.4,3613.0,0.0,-59.0,-22.0,-13.0
110.0,0.0,40.0,0.0,28.8,3611.0,0.0,-58.0,-20.0,-13.0
236.0,0.0,40.0,0.0,29.2,3611.0,0.0,-58.0,-20.0,-12.0
207.0,0.0,40.0,0.0,29.2,3613.0,0.0,-58.0,-21.0,-13.0
84.0,0.0,41.0,0.0,28.9,3611.0,0.0,-58.0,-21.0,-10.0
84.0,0.0,43.0,0.0,28.4,3611.0,0.0,-59.0,-20.0,-9.0
14.0,0.0,44.0,0.0,28.1,3611.0,0.0,-58.0,-21.0,-20.0
242.0,0.0,45.0,0.0,27.5,3608.0,0.0,-59.0,-20.0,-11.0
253.0,0.0,46.0,0.0,26.7,3606.0,0.0,-58.0,-23.0,-16.0
22.0,0.0,47.0,0.0,26.1,3606.0,0.0,-59.0,-20.0,-12.0
59.0,0.0,48.0,0.0,25.9,3611.0,0.0,-57.0,-23.0,-12.0
